tarih,derece,yorum
2022-04-09,5,Sorunsuz ulaştı teşekkürler
2022-02-19,5,Beklediğim gibi güzel
2021-08-16,5,Uygun fiyat ve hızlı kargolama işimizi kolaylaştırdı. Bol kazançlar dilerim.
2021-10-19,5,fiyatına göre gayet iyi. pahalı modellerden almaya gerek yok.
2022-03-23,5,Çok iyi
2022-05-03,1,Kargo dan dolayı olsa gerek ezik geldi iade etmek zorunda kaldım
2021-06-09,5,Güvenle alabilirsiniz. Biz çok beğendik
2021-08-09,1,ürünün sol arka kısmı göçük geldi fabrika hatası olduğu kanaatindeyim çalışmasına engel olmadığı için tekrar göndermedim
2020-12-24,5,hızlı gonderi için tşk.ederim kaliteli satıcı
2022-01-26,5,satıcının paketleme işlemi çok güzel herhangi bir ezik çizik yok ürün ilk denemede güzel sonuç verdim umarım bu şekilde devam eder. marka peşinde koşup  daha fazla para vermeye gerek yok bence
2022-01-11,1,"Ürün çok güzel ama sol üst taraftan düşürülmüş , kapak kısım üstten ezilmiş eğrilik var , ya defolu ürün gönderildi yada kargo düzgün getirmedi"
2021-08-28,5,"Ürünü çok uzun zamandır takip ediyordum fiyatı istediğim aralığa düşünce kaçırmak istemedim. Ayrıca hepsiburanın 50tl indirimiyle ürün daha da uyguna geldi😊

Satıcının özenli paketlemesinden, hasarsız ve hızlı teslimatından çok memnunum.

Mikrodalga almayı düşünenlere hem ürünü hem satıcıyı öneririm.😊"
2019-10-02,3,"2 haftadan fazla zamandır kullanıyoruz, iyi ve kötü yapılan yorumların tamamına katılıyorum. Şık görünümlü fakat içindeki yiyeceklerin durumunu göremiyorsunuz. Fiziki olarak kapak tam hizalı değil, 4 ayağın biri farklı (resimde işaretli) ve plastik olduğu için sallanıyor. Uyarı sesi yüksek, çok da kaliteli sayılmaz, bu cihaza dörtyüz fazla."
2021-07-28,3,Urun bugun geldi cok guzel gorunuyor henuz kullanmadim sadece cihazin yapip yapmadigini kontrol ettim. Orta vermemin sebebi cok guzel paketlenmesine ragmen kosesi ice gocuk kartonuda ayni sekilde gocukluk var..bu durum beni fazlasiyla rahatsiz etti. Onun disinda cok begendim.
