tarih,derece,yorum
2020-09-26,5,Ürün bir gün sonra elime ulaştı. Çok güzel sesi/tınısı olan bir gitar. Boyuna göre gayet yüksek bir sese sahip. Taşınırken herhangi bir hasar görmemiş çok güzel paketlenmiş. Kesinlikle tavsiye ediyorum.
2022-01-19,4,Başlangıç için güzel gitar
2020-08-21,5,"Gitarın sesi tonu mükemmel akorunu yapınca muhteşem net bir ses veriyor alacak olanlara kesinlikle tavsiye ederim, yanında verilen kılıfı diğer mağzalarınki gibi kalitesiz değil çok güzel kaliteli bir kılıfla göndermişler yanında birde stagg pena çıktı memnun kaldım. İnternetten almaya korkuyorsanız kesinlikle tercihiniz kaysar müzik olsun gerek uygun fiyat gerek gönderi paketleme kalitesi, kargocular istesede kıramazlar o derece güzel paketlenmiş. Kendilerine çok teşekkür ediyorum."
2021-01-21,5,"Öncelikle çok tedirgin bir şekilde siparişimi verdim. Acaba iyi gelir mi , kargoda kırılır mı diye korkuyordum ama harika bir şekilde paketlenmiş olarak geldi.Bir tane çizik bile yoktu.Gitarda hiçbir kusur yok  sesi müthiş.Fiyat performans bir gitar arıyorsanız eğer tavsiye ederim.Tam anlamı ile  B-A-Y-I-L-D-I-M !"
2020-08-31,5,"Gitar bu fiyata muaazam ve Kaysar müzik gitarı bir bebeği korurcasına öyle güzel paketlemiş ki helal olsun kılıf da çok güzel süngerli, bu hizmet anlayışını görmek gurur verdi, hem gitarı hem de satıcıyı fazlasıyla tavsiye ederim"
2020-11-18,4,Gitar fiyatına göre çok iyi başlangıç ve orta seviyelerde alınabilecek bir gitar yanında gelen kılıf 5 para etmez adı kılıf sadece yanında 2 farklı ölçüde pena ve 1 adet alyan anahtarı var 1 yıldız kılıftan kestim ama gitara lafım yok
2020-09-03,5,Muhteşemmm bir ürün ya kesinlikle pişman olmayacaksınız. Çok güzel paketlenmişti ve 1 günde elime ulaştı. Asla mağdur olmayacaksınız gözünüz kapalı sipariş verin derim
2020-06-01,5,müthiş bi gitar aldığıma o kadar değdi ki harika bi şekilde paketlenmiş asla hasar yok ufacık çizik bile olmamış
2019-11-07,5,Ürün cok güzel kalitesini belli ediyor. Çok özenle paketlenmiş. Kutusunda ambalajinda ve kılıfının icinde geliyor. Fiyatini hak ediyor.
2021-01-23,5,Gitar muhteşem satıcı alırken çok yardımcı oldu kendisine tekrardan teşekkür ederim gönül rahatlığıyla Empathy&#039;den alabirsiniz harika
2022-02-21,5,"Başlangıç için gayet iyi bir ürün. Jack ve fişi takıp çalacak şekilde hazır geldi. Paketleme çok iyiydi, çift kat koliyle sağlam ve eksiksiz geldi. Kesinlikle tavsiye ederim."
2022-02-01,5,oğlum için aldım. çok iyi
2021-01-08,5,Arkadaşlar eğer almak istiyorsanız düşünmeden alın kargo çok hızlı 2 gün sürdü sürmedi paketleme süper adamlara tek kelime ile helal olsun diyorum
2021-01-13,4,"Ürün sipariş ettiğim günden 3 gün sonra elime ulaştı. Paketleme özenle yapılmıştı. Paketleme konusunda içiniz rahat olsun. Gitarın sesine gelecek olursak, entonasyon problemi yok. 12. Perdeler ve açık perdeler doğru notaları veriyor. Bass sesleri tok. Ama tiz sesleri çok daha iyi veren bir gitar. Daha önce kullanma fırsatı bulduğum Fender CD100-CE gitarı kadar iyi ve tok bass sesi vermiyor. Daha metalik bir sesi var. Gitarın rezonansı gayet iyi. Titreşimi kucağınızda hissedebiliyorsunuz. Gitarın önemli bir eksisi var. Üst eşikte EADG tellerinde cızırtı oluyor. Bunun olmaması için imkanınız varsa gitarı internetten sipariş vermemenizi öneririm. Test ederek almanız en iyisi olur."
2019-04-10,5,"merhabalar, bu gitarın endonezya fabrikasında son 2 yıldır klavyesinde gül ağacıyla birlikte merbau ağacı stok durumuna göre rastgele kullanılmaktaydı. yani eskisi gibi sırf gül ağacından yapılmıyor. son 6 aydır da sadece merbau ağacı kullanılıyor (internet sitesinde de görebilirsiniz) tınısında değişiklik olup olmadığını bilemiyorum ama muhtemelen yeni seri olduğu için bunlarda merbau ağacından. anlamak için klavyeyi incelerseniz eğer kahverengi klavyede küçük siyah nokta/çizgiler varsa merbau, koyu kahverenginin üstünde kırmızı uzun geçişler varsa gül ağacıdır. Bilgi amacıyla paylaşılmıştır."
2021-05-12,5,Gitarın teslimat süresini uzun göstermelerine rağmen 2 günde geldi paketleme çok iyiydi ürün kalitesi başlangıç-orta seviye için inanılmaz derecede iyi sesi çok iyi veriyor orjinal cort kılıfıyla gelmeside büyük bir artı tabii ki. Gönül rahatlığıyla alıp kullanabilirsiniz
2022-04-11,5,"Ürün sipariş vedikten sonraki gün elime ulaştı. Kargolanma ve paketlemesi gayet iyiydi. Hepsiburada satıcılı olarak aldım.
Gitar ile alakalı olarak zaten buradaysanız iyice araştırmışsınızdır. Ben gayet memnunum fiyat performans olarak değerlendirildiğinde güzel tercih."
2020-04-24,5,Gitar gerçekten başlangıç için çok güzel. Diğer sitelerde daha fazla fiyata stokta kalmıyor burda stokta görürseniz gecikmeden alın derim. Orjinal cort kılıfıyla geldi. Hiçbir sorun yaşamadım.
2020-07-11,5,uzun süre gitar araştırmaktan kafayı yedim ve en son canıma tak etti hiç düşünmeden bunu sipariş verdim. pişman olmadım orta seviye bir akustik gitar gibi duruyor. kasa ağırlığı normale göre biraz daha hafif. yanında orijinal cort kılıfı gönderiyorlar. paket içinde sap ayarı alyanı ve yedek eşik mevcut. düzgün paketleyip göndermişler kutuda hiç hasar yoktu.
2022-04-08,5,Gitar gerçekten bu parayı hak ediyor ve alınabilecek en iyi gitar diyebilirim. Klavye çok rahat tellerin perdeye yakınlığı çok iyi eli yormuyor gönül rahatlığı ile alınabilir.
2020-08-14,5,Müzikaletlerimarketine teşekkür ederim çok ilgilendiler.Gitara gelicek olursam başlangıç ve orta seviye için çok güzel bir gitar.Malzeme kalitesi olsun tınısı olsun gerçekten insanı cezbediyor.Yanında verilen çanta da çok güzel koruyan bir çanta olduğunu düşünüyorum.
2022-01-10,3,"Gitar çok hafif daha önce takamine kullandım onun yanında kucağımda yastık tutuyormuşum gibi,klavyesi rahat. Gitarı görerek çalarak alamadım, yorumlara ve video incelemelerine baktım, daha iyi bir ses ve performans bekledim. Nihayetinde çokta ucuz değil. Üzerindeki teller çok başarılı değil gibi. Alacak arkadaşların imkanları varsa görerek almalarını öneririm. Ürünü Timpany Müzik ten aldım, aynı gün kargoladılar sağlam geldi.Ufak bi yanlışlık olmuş ama hemen ilgilendiler. Sonuç olarak alınabilir kullanılabilir bir gitar güzel işlerde çıkartır, imkanı olan aynı fiyatlardaki gitarları eline alıp çalarak alsın."
2020-10-13,5,Ürün sorunsuz bir şekilde ulaştı. Çok güzel paketlenmişti. Satıcıya teşekkür ederim. Rengi beklediğimden farklı geldi. Sunburst renginin orta kısmına benziyor. Kaliteli ve güzel bir gitar.
2020-09-26,5,Ürün sorunsuz bir şekilde bana ulaştı.Fiyatının hakkını veren bu aralıktaki en iyi gitarlardan.Almayı düşünenlerin hiç şüphesi olmasın.Mağazaya teşekkürlerimi sunuyorum.👏
2021-08-11,3,"Bu gitarı alalı 3 ay kadar oluyor ama keşke zamanında iade etmeye vaktim ve fırsatım olsaydı, bir dünya şeyle boğuşuyordum, pişmanım. Biraz canım sıkkın gitar konusunda. Geldiğinde perdeler kısmen paslıydı ve klavye siyahtı. Normalde VC304lerin klavyesi siyah değil. Üstünden zaman geçtiği için bazı sorunları size kanıtlayamayacağım çünkü 3 aydır kullanıyorsunuz bu zaman içinde olmuştur diyebilirsiniz ama dün de tellerimi değiştirdikten sonra iyice rahatsız olmaya başladım artık. Ürünlerinize dikkat edin lütfen. İyi bir gitar olmasının yanında görüntüsü de çok hoşuma gittiği için almıştım. Ürünü size tedarik edene mi sorarsınız ne yaparsınız bilmiyorum artık. Gitarı aldığım gün parlak bir ses gelmiyordu, tellerle alakalıdır dedim ama telleri değiştirdim, Pro Arte taktım hatta ama durum aynı. Kullanmaya inat ettim ama memnun olamadım. Gitar yine de aldığım gibi duruyor."
2021-07-14,5,her şey harika! teşekkür ederim
2020-09-19,5,Müthiş ilk gitarım çalmak çok rahat klavyesi olsun kalitesi olsun çok iyi kesinlikle tavsiye ederim.
2021-03-31,5,Ambalaj güzel Kargo zamanında malzeme de herhangi bir şey yok Teşekkürler
