tarih,derece,yorum
2020-02-05,5,"Yere doğru bakan sub, dengeli ve geniş midler harika ses veren bir ürün.Tek problem o kadar güçlü ki düşük sub seviyesinde bile cam kapı raf dolap bulunduğu odada ne varsa titretiyor, dolayısı ile harika dengeli bir müziği titreşen vınlayan vuran şeylerle beraber dinliyorsunuz.Bunu alacaksanız evde titreşen şeyleri de sıkıştırmak zorunda kalacaksınız.Apartman dairesi için kesinlikle uygun değil."
2022-04-18,5,"Öncelikle lavin bilişime teşekkür ediyorum.Kargo ile alakalı yardımcı oldular.Cihaza gelince apartman dairesinde kesinlikle son ses kullanılmak rahatsız edecektir.Açık hava da bahçemi ses tam doldurdu.Zaten harman kardon kullanıcısıyım,jbl hakikaten mükemmel bir cihaz yapmış.Beklentimi tamamen karşıladı.Projeksiyon cihazıma kablosuz bağladım ses senkronizasyonunda hiç bir gecikme yok mükemmel mükemmel mükemmel."
2019-11-30,5,bugün elektronik marketlerden birinde deneme fırsatı buldum.ses efsane.yeri göğü inletiyor tabiri caizse.bass boost 2 kademe ve açınca rafları sallıyordu.parası olup kıyan olursa pişman olmaz.gerçekten harikaydı.uzunca süre başından ayrılamadım cihazın çok etkileyici bir ses deneyimiydi benim için.basslar tizler herşey tam kararındaydı.hiç biri diğerinin önünde değildi.
2021-04-21,5,Her şeyiyle mükemmel. Ses kalitesi harika. Son sesi apartmanda deneme şansınız yok hatta yarı sesi bile apartman için çok ama çok fazla. Bass tiz dengesi çok güzel. Parasının hakkını veriyor.
2021-11-11,5,beklediğimden kat ve kat daha iyi çıktı. 1100w olduğu için low bassları vuramaz sanıyordum ama kesinlikle yanılmışım. low bassları mükemmel vuruyor. bu ürünü almadan önce lg ol100 kullanıyordum. tizz konusunda lg biraz daha iyi ama bass konusunda jbl harika.
2021-12-04,5,Harika…muhteşem …Muazzam …10 numara bir cihaz
2021-05-29,5,"Zamanında geldi, güzel paketlenmiş. Ürün performansına zaten diyecek birşey yok. Apartman için fazla güçlü."
2021-08-07,5,Açık alanda ses inanılmaz iyi en kisik seste bile baslar adamı hoplatiyor.
2020-10-13,5,"Mükemmel ses kalitesi.
Sesi yarısına kadar bile açamadık apartmanda oturduğumuz için ona rağmen az bir seste bile her yeri titretiyor."
2022-04-02,5,Mükemmel ötesi harikaaa
2021-03-29,5,"Ürün gerçekten çok güzel ve şık. Tasarımı baya farklı. Küçük gibi görünmesine rağmen çok da öyle değil ve yaklaşık 3.5 kg ağırlığında. Ama performansı boyutunun çok çok ötesinde. Üzerinde kablo bağlantıları olarak sadece güç girişi ve 3.5 mmlik aux girişi var. 
Artıları
1. Küçük boyut
2. Şık tasarım
3. İçinize işleyen baslar
4. Yüksek ses seviyesi
5. Kolay Bluetooth bağlantısı
6. Kolay taşınabilir.

Eksileri
1. Bataryası yok.
2. Kumandası yok
3. Bilgisayarın ses seviyesi ile tam senkronize olamıyor.
4. Tuşları işlevi biraz geç algılıyor.
5. Güzel bir uygulaması mevcut değil.
6. Sesli asistan desteği yok.
Bunların dışında ışıkları güzel ama müziğe eşlik etseydi çok daha güzel olurdu. Genel olarak ben memnun kaldım. Saydığım dezavantajlar sizin için çok önemli değilse kesinlikle alın derim."
2020-08-23,5,Kapıyı titretecek bass&#039;lar ve sizi müzik kaydının alındığı stüdyoya götüren ve kristal netliğinde sesler veren mükemmel bir cihaz.
2021-04-19,5,Bayadır bu ürünü inceliyordum parasını sonuna kadar hakediyor böyle bir ses yok süpet süper süper. paketleme gayet iyi ancak kargo firmasındaki görevli arkadaş ürünleri araçtan indirirken kutu yere atarak koyması hiç hoşuma gitmedi sonuçta kırılacak ürünlerde olabilirdi
2020-12-26,5,JBL BOOMBOX 2 arasında kaldım fiyat bakımından tatmin edici ses ister bas ister akustik müzik dinlemek için kusursuz temiz güzel hapörlör beyendim tek eksiği şarj değil
2022-01-07,5,"bundan önce jbl&#039;in şarjlı hoparlörleri ve yine harman kardon markasının onyx 3 studio hoparlörlerini kullanıyordum. şarjlı hoparlörlerin bir yerden sonra pilleri şişiyor ve değiştirilmesi gerekiyor, sürekli şarjda kullanırsanız bu değiştirme süresi kısalıyor. o sebeple direkt prize bağlı çalışan bu hoparlörü aldım.

bass konusunda beklediğimin çok üzerinde çıktı. ev ortamında %60&#039;tan fazla ses açamadım. midler de gayet yerinde ancak tizler biraz az kalıyor ama bu derece bass yoğunluklu bir hoparlörde bu durum normal ve kesinlikle rahatsız etmiyor. %10 seste bile müziğinizi güzelce dinleyebiliyorsunuz."
2021-12-22,5,"Gercekten ses kalitesi tiz ve baslari cok yerinde zaten yazilan yorumlar belli, dekor amaclida cok guzel.  Eksileri denilen gibi kablolu kullanmak zorundasiniz ve uzaktan yonetemiyorsunuz,  birde iisiklari bluetooth bagli degilkende yansa guzel olurmus yada muzige duyarli olsa.. tabi ozamanda zarifligini kaybedebilirdi.
Tv ye bagli olarakta kullanabilirsiniz cogu sounbardan cok daha iyi film izleniyor. Sadece muzik olarak dusunmeyin."
2022-04-08,5,Harman kardon kalitesini anlatmaya gerek yok zaten ürün tesliminde sıkıntı yaşamadım 2. Günün sabahı elime ulaştı
2022-02-28,5,"Ben TV de kullanmak için aldım, Bluetooth ile gayet sorunsuz bağlandı. Seslerin net ve tok gelişi bir home theater gibi değil ama gayet tatmin edici."
2022-05-06,5,Urun cok guzel paketlenmis ve hizli teslimat oldu. ayrica urun performansi cok iyi
2022-03-29,5,"Ürünün ses kalitesi çok guzel, kısık seste bile kalitesini belli ediyor. Kablosuz bağlantı özelliği faydalı. Görünümü çok şık."
2021-11-16,5,"Ürün son derece iyi. Alalı uzun zaman oldu. Bir hayli dayanıklı bir pili var. Rahat 18-20 saat çalıyor. Su geçirmez. Lavaboyu komple su doldurup çalışır halde içine soktum, hiçbir şey olmuyor. Yani yağmur altında müzik açıp tango yapabilirsiniz :) 5m X 5m bir odada çok kaliteli bir ev sinema sistemi etkisi sunar.  Daha büyük odalarda yine gayet doyurucu bir yüksek ses seviyesi deneyimleyebilirsiniz. Bas ve tiz ve mid leri çok iyi. Flip 4 gibi modeller daha çok el çantasında taşımak içindir. Kendilerine ait bas makineleri yok. Charge 4 ten büyük modeller ise tabiki daha yüksek ses verir ancak aradaki ses seviyesi farkı fiyat farkına değmez. Bence charge 4 ten şaşmayın. Ömürlük cihazdır hiçbir şey olmaz. Bazı özel durumları yazayım: Menzil, ses kalitesi ve seviyesi hoparlörün bluetooth teknolojisine göre değilse de bağlanan cihazın bluetooth teknolojisine göre de değişiyor. Menzilde hangi cihazı bağlarsanız bağlayın 7-8 metreyi rahat görürsünüz. Eski teknoloji bluetooth u olan cihazlarda film izlerken ses ile görüntü arasında çeyrek ile yarım saniye arasında bir gecikme oluyor (görüntü önde). Ancak 2021 model bir acer laptop ile bu sorunu yaşamadım. Yine ses kalitesi ve yüksekliği bağlanan cihaza göre değişiyor. Örneğin laptop ile bağlandığımda telefona nazaran daha kaliteli ve yüksek bir ses deneyimi yaşıyorum. Bu demek değildir ki dandik ses çıkıyor. Hayır her türlü çok iyi ses çıkıyor ama iyi cihazla eşleştirirseniz çok çok iyi ses çıkıyor. Son olarak, hoparlörden de bağlanan cihazdan da sesi sonuna kadar açtığınızda ses seviyesi yükseliyor ama bas seviyesi yükselmiyor. Bu da kulak tırmalayıcı bir ses oluşturuyor. Ki bence cihazı o kadar zorlayınca normaldir bunun olması. Ayrıca o kadar yüksek sese gerek yok zira zaten sonuna kadar açmadan yeterince yüksek ses alabliyorsunuz. Charge 4 ten şaşmayın derim."
2019-05-07,5,Ürünü araştırırken charge 3 le arasında gidip geldim. İnternetteki karşılaştırma videolarında pek anlayamadım tercihimi charge 4 ten yana kullandım. Pişman da etmedi. Açık alanda kullanmak için almıştım denediğimde son seste yeterli keyfi verdi. Beni asıl şaşırtan evde aldığım haz oldu. Odanın içini tek başına doldurmaya yetti. Basslar çok temiz tizler de. Odanın köşesinde konumlandırdığınızda  son seste bass ları çok keyifli oluyor. Uzun süre son ses dinleyemezsiniz komşular kesin gelir:) özetle boyutuna göre fazlasıyla hakkını veriyor. Öyle gümbür gümbür ses isteyenlerin beklentilerini karşılamaz daha üst modellerine bakılabilir ama yeri geldiğinde çantana atıp kamp havuz vs gibi yerlerde yada ev içi ideal tavsiye ederim. Hepsiburadanın hızlı teslimatı ve özenli kargosuda güzeldi. Teşekkürler HB
