tarih,puan,yorum
2021-05-04,4,"Kargolama hızlıydı, fiyati gayet iyi kullandım performansı güzeldi ihtiyacı olanlar indirimde alabilirler"
2022-05-06,5,Bunu çoktan beri almak istiyorduk.aldım. güzel bir ürün.
2020-05-11,5,İyi değil yani aldığımız gün kullanmaya hemen başlamadık sonra kullanalım dedik hiçbir şeyi parçalamıyor içine bir şey atıp çalıştırınca 10 saniye olmadan duruyor parçalamıyor yetkililerle görüştüm ama götürme fırsatım olmadı hala evde bir köşede duruyor dedim garantisi var nasıl olsa müsait bir zamanda götürürüm
2022-04-14,5,Ürün cok guzel motoru cok güçlü ayrica hafifce dokunmaniz makinenin çalışması icin yeterli oluyor cokta guzel kesiyor memnun kaldık
2022-05-07,5,Tam beklediğim gibi geldi fiyatı indirimdeyken aldım gayet güzel seside kesmesine kaliteside fiyatına göre iyi arzum sonuçta 3 yıl garanti ayrıca
2022-05-07,5,Tek kelimeyle harika. Siparişimin üzerinden 24 saat geçmeden kapımdaydı. Cihazı kullanınca da doğru tercih yaptığımı gördüm. Çok memnunum.
2022-04-13,4,Motoru cok kuvvetli. Cok hizli parcaliyor.  Bir sikinti yasamadim. 1 yildiz girmesinin sebebi bicagin oturdugu milin hazneye baglantisini zayif gordum. Bu noktadan zorlanirsa catlama yapabilir.
2022-04-07,4,Motor gucu cok yuksek. Haznede Bicagin oturdugu mil ile taban bağlantısıni biraz zayif buldum. Umarim ilerde sorun cikarmaz
2022-04-13,5,Gayet güzel bir ürün günlük kullanım için idael tesekkurler hepsi burada
2022-04-24,5,Aldığımın ertesi günü elimizdeydi.  Çok teşekkürler. Üründe gayet güzel. Bu fiyata grmem alınır.
2022-01-08,5,"Daha önce aynı ürün kullandım 15 sene sonra buzulunca)) tekrar aynısını aldım. Çorba,ceviz,sous yapımı, kısacası elim ayağım)) tavsiye ederim"
2021-11-16,5,İndirimde aldım. Sipariş verirken hiç yorum bulamadım. Markaya ve Hepsiburada ( satıcısı olarak)  güvendiğim için aldım. Sağlam olarak elime ulaştı. Ezogelin çorbasında denedim ve pürüzsüz oldu.
2022-01-26,5,Çok güzel sapasağlam çok gürültüde çalışmıyor ben çok beğendim. Dün akşam şipariş verdim sabah 11 de elime ulaştı teşekkür ederim
2022-01-14,5,"Ürünü gelir gelmez denedim 2 muz 1 avakadoyu inanılmaz pürüzsüz yaptı daha önce tef.. marka kullanıyordum ama muz pütür pütür kalıyordu bazı kısımlarda , mercimek çorbası da ise patates kalıyordu ama bununla mercimek çorbası yaptım oda pürüzsüz oldu. Ben çok beğendim umarım alacaklara faydalı olur"
2022-04-18,5,Cumartesi akşam sipariş geçmeme rağmen 1 saat içinde kargoya verildi pazartesi elimdeydi hepsijete teşekkür ederim gayet güzel paketlenmişti ürün kutusuna ayrıca kutulanmış ürün görselsek gibi eksiksiz
2022-02-05,5,"Çok başarılı bir blender. Asla sıçratma yapmıyor, fazla gürültülü de değil. Daha önce bir kac kez blender bozmuş birisi olarak Philips ten çok memnunum."
2022-04-14,5,tek düğmesi var ilk çalıştırdığımda yavaş tan başlıyor ve düğmesine bastıkça kendi otomatik hızlanıyor
2022-02-01,5,Biz sadece çorba için aldık ve işini sorunsuz görüyor.Kalitesi tartışılmaz Philips markası ve fiyat olarak çok uygun ve seside kesinlikle rahatsız etmez.
2022-01-29,5,Ürün çok güzel çok kullanışlı tavsiye ederim canavar gibi çalışıyor mercimek çorbasını pürüzsüz yaptı ve donmuş kivi ve limonu çektim çok güzel püre haline getirdi ben bayıldım ürüne fiyatıda gayet uygun. Gönül rahatlığıyla alabilirsiniz.
2022-05-11,5,Alt kısmının plastik olması mükemmel olmuş. Çelik olduğunda tencereye zarar veriyordu. Artık tencereler çizilmeyecek. Teşekkürler
