tarih,puan,yorum
2022-05-09,5,"Güzel bir anlatımı var, henüz başındayım inşallah sonunda da aynı fikirde olurum."
2022-04-28,5,"Süreci özetlerken; bazı konuları ıskalamış olduğunu düşünmekle birlikte, severek ve ilgiyle okuyorum. Tespitlerinin çoğuna katılıyorum. Konuşma ve yazma üslubu oldukça samimi ve akıcı. Okunmasını tavsiye ederim. Bazı yerlerin altını çizip, bu tespitleri arkadaşlarımla da paylaşmayı düşünüyorum."
2022-05-05,5,"Guzel tespıtler var. Yazarın yayınlarını ızleyenler ıcın anlattıklarından cok farklı degıl ama yazılı belgeye dokmus olması deneyımlerını ve fıkırlerını bence degerlı, desteklenmelı, alınmalı, okutulmalı"
2022-05-01,5,Ürün hasarsız bir şekilde geldi hiçbir yerinde hasar vs yok
2022-05-10,5,Kusursuz geldi teşekkürler 🖤
2022-05-05,5,Cildi çok güzel. Ön siparişten aldığım için biraz bekledim ama sonra hızlı geldi. Hasarsız. Daha önce wattpadte okumuştum ve basılınca da almak istedim. Bütün ayraçlarıda çıktı.
2022-04-29,5,Kızım için aldım.Poster ve ayraçları eksiksiz geldi.Kargo hızı mükemmel.
2022-04-28,5,Kargolama süreci uzun sürsede beklemeye değerdi hasarsız teslim aldım
2022-05-02,5,Çok ilgi çekici
2022-05-02,5,"Kızım için aldım, Beyza Koç un kitaplarını çok beğeniyor"
2022-05-08,5,Güzel kargo başarılı satıcı teşekkürler
2022-05-07,5,Hızlı kargo doğru ürün.
2022-05-07,5,1 günde hasarsız bir şekilde teslim edildi
2022-04-28,5,"Her zamanki gibi yalnızca kargo poşetine koyup gönderdikleri için kitabım hasarlı geldi, değişimle uğraşmak istemediğim için bir şey yapmadım. Boş yere 1 hafta daha beklemem gerekecekti. Çoğu kişi de bu şekilde uğraşmıyor. Sanırım bunu bildikleri için bu konuda hiçbir şey yapmamaya devam ediyorlar."
2022-05-03,5,Bir hayranı olarak polisiye tarzında olsa da sevdim bitmek üzere ama spoiler vermiyorum. Polisiye tarzı sevenlere öneririm.
2022-04-21,5,Muhteşem paketleme ile hızlıca geldi. Hemen okumaya başladım. Hasarsızdı.
2022-05-02,5,Henüz okumadım ama içerik yazarla alakalı değerlendirmedir zaten. Ben alışverişten memnun kaldım
2022-04-30,5,King bu yüzyılın edebiyat mucizesidir
2022-04-26,5,Hızlı ve hasarsız bir teslimattı.
2022-05-02,5,Çok hızlı ve sorunsuz bir şekilde geldi. En kısa sürede okutacağım ❤️
2022-05-06,5,Ertesi gün elime ulaştı teşekkür ederim
2022-05-05,5,Yazarın yeni kitabı. Satıcı hemen gönderdi.
2022-05-08,5,Ürün elime sorunsuz ulaştı teşekkürler :)
2022-05-05,5,Güvenilir satıcı
2022-05-08,5,Hızlı kargo hızlı teslimat teşekkür ederim
2022-05-09,5,1 günde elime ulaştı. Hızlı gönderim.tavsiye ederim
2022-05-10,5,Ürün elime çok iyi ulaştı teşekkürler
2022-05-12,5,Bir gün sonra sorunsuz bir şekilde elime ulaştı teşekkür ederim
2022-04-30,5,Hızlı ve özenli paketleme için teşekkürler
2022-02-25,5,"Kitap kalitesi beklentimi karşıladı.
Fiyat-içerik olarak uygun
Teşekkürler Hepsiburada. Çok memnun kaldım.
4-5 yaz kiz çocuklarının ilgisini çekebilecek güzel resimleri olan bir bir kitap."
2022-04-14,5,Çocuklar için anlaşılabilir bir dille yazılmış. Bayıldım.
2022-04-14,5,Başarılı
2021-11-19,4,"İçeriği güzel ancak kitaplar çok ince ve çok az sayfası var, beklentinin biraz altında kaldı. Firmaya hediyesi için teşekkür ederim."
2021-11-27,4,Düşündüğüm tarzda bir set değil. Daha çok kelimeler var. Her kitap sonunda soru cevap tarzında birşey yapilsaymis daha güzel olurdu.
2022-03-24,5,9 yaşında ki kızım için aldım önce ben okudum. Çocuğun eline al oku denecek gibi değil beraber okunmalı ya çocuk okuyacak biz dinleyeceğiz anlamadığı  yerde soru sormasına izin vererek yada biz okuyacağız ve bazı yerlerde bunu anlamamış olabilirsin deyip fazla detaya girmeden anlatmalıyız.kitabı çok faydalı buldum. Anne baba üreme organları ile bebeğin olduğu kısım çocukta anlaşılır bir anlatım olmamış. Bizim gibi tv nin internetin zararlarından koruyorak büyütülen çocuklar için anlatım yetersiz kalmış. Harici çok keyifli bir kitaptı. Bu zamanda her çocuğun bilmesi gereken konuları çocuğa endişe ve kaygı oluşturmadan öğrenmesini sağlayacak içeriğe sahip.
2022-03-30,5,Bu kitabı 4 yaşındaki kızım için aldım henüz bir kısmını okuduk ama aşırı eğlenceli ve okuması keyifliydi. Kitabı elimizden bırakmak istemedik. Hem eğlendik hem de kızımı soru sorma ve sorgulamaya teşvik etti. Bu benim bedenim mutlaka alınıp okunması gereken bir kitap diye düşünüyorum.
2022-04-09,5,"Güzel kitap, resimleri de canlı. Beğendik.
Daha güzel kitaplarımız olmuştu. Ama fiyatına göre güzel kitap.
Kitap kalitesi beklentimi karşıladı.
Elimizden düşürmeden okuyacağınız güzel bir içeriğe sahip."
2022-04-20,5,"İçindeki yazıların büyüklüğü ve resimler tam çocuğumun yaşına uygundu. Hikaye çok sürükleyici ve öğretici. Kolayca okuduk.
Tatili bol bol okuyarak geçiriyoruz."
2022-04-26,5,"Evde vakit geçirme için harika bir yol.
Çocuğuma sorgulamayı ve araştırmayı öğrettiğini düşünüyorum. Tavsiye ederim.
İçindeki yazıların büyüklüğü ve resimler tam çocuğumun yaşına uygundu. Hikaye çok sürükleyici ve öğretici. Kolayca okuduk."
2022-03-23,5,"Hem eğlendik hem öğrendik. Mutluyuz.
Mükemmel bir kitap. Çok beğendik.
Tatili bol bol okuyarak geçiriyoruz.
3 yasindaki oglum icin aldik her aksam ayni kitabi okuyoruz.
İçeriği dolu dolu ve geniş."
2022-03-23,5,"Resimler ve hikaye güzeldi.
Anlatımı çocuk gözünden bakıldığında harika."
2022-04-20,5,Hatice hanımı tebrik ediyoruz güzel kitap çıkarmış
2022-05-12,5,Güzel ve kaliteli çocuklar beğendi👍
2022-03-22,5,Ürün son derece başarılı bir şekilde yazılmış teşekkürler
2022-04-19,5,"Huşu Ağacı, Asude Bahçe ve serinin 3.sü olan Derviş Kelamı harika bir kitap her eve girmeli, herkes okumalı.Yazarın emeği için sonsuz teşekkürler.Herkese tavsiye ediyorum, yüreğe dokunan eşsiz bir kitap."
2022-04-27,5,Serinin üçüncü ve son kitabı. Her satırın altını çizmek istedim. Bir yandan tek çırpıda okumak diğer yandan sindire sindire okumak istedim. Buraya yazmak istediklerime karakter yetmez. Kesinlikle okunması gereken kitap.
2022-04-21,5,Henüz başlamadım ama serinin 1 ve 2 kitabını okumuştum. 3.sini sabırsızlıkla bekliyorum wn güzel bir ortamda sessiz sakin bir zamanda okuyacağım
2022-05-08,5,Serinin 3.kitabi . Gerçekten çok akıcı ve çok güzel bir roman. Herkesin hayatında sıkıştığında başvurabileceği bir Derviş Dedesi olması dileğiyle iyi okumalar..
2022-04-15,5,İlk iki kıtabinida okumuştum yazarın tüm kitapları çok güzel huşu ağacı Asude bahçe simdide derviş dede konuk oldu evime çok şükür
2022-04-19,5,Harika anlatımıyla yürekleri ferahlatacak okurken ruhinu dinlediğin bir kitap
2022-05-08,5,Serinin üçüncü kitabını tabiki ilk alanlardanım zevkle okundu sevgili funda uçuker kaleminiz her  daim yazsın 👏🏻❤️
2022-05-10,5,Tek kelime ile harika bir kitap insanın yüreğine dokunuyor herkes okumalı
2022-05-11,5,Mutlaka okunmasi gereken serinin son kitabi.Kitabin bitmesini istemedigim icin yavas yavas okudum😊
