tarih,derece,yorum
2021-10-19,5,"Renkli çıktı da renkler gayet canlı çıkıyor. Kutu içinden 3 büyük siyah ve 3 küçük renkli mürekkep çıkıyor. Mürekkeplerin dolumu, yazıcının kurulumu gayet basit. Bu marka yazıcının sosyal medyada videolari var. Onları izleyerek herşey daha basit oluyor. Uzun süre problem çıkarmadan kullanabilecek kalite de bir yazıcı."
2021-09-12,5,Ürün ile birlikte gelen evraklar ile kurulumu basit ve kolay bir şekilde yapılabiliyor kurulum bittikten sonra 15 sn sonra baskı alınabilir fotoğraf baskısı gayet net ve güzel tavsiye ederim. Uygulama sayesinde ayrıca tarama yapıp telefona yüklüyor
2021-12-23,5,Çok iyi bir yazıcı kurulumu mürekkebi koyması da hepsi çok kolay kitapçığı bakarak yaparsanız hiçbir sorun yaşamazsınız kurulumunu yaptıktan sonra wifi ye bağlanıp cihazları bağlayana kadar kısık seste bip sesi geliyor ama geçiyor 3 Adet renkli 70 ml tam dolduruyor tankını siyah olanda 135ml 3 Adet geliyor o da tam tankıyla aynı ml A4 kağıdına fotoğraf çıktısı aldım onda bile çok güzel çıktı bazı kişiler tam kuramamış sanırım sorun yaşamışlar yorumlarda okuduğum zaman ama hiçbir sorun yaşamadım kurulumu herşeyi çok kolaydı.
2022-03-19,5,Kablosuz bağlantısı ile telefondan çikti ları alabiliyor olmamiz güzel üzerinde gelen mürekkep ler tankları ful dolduruyor üzerinden direk renkli ve siyah beyaz fotokobi çekebiliyor. Hp nin kendi kagitlarini kullanıyorum.
2022-03-19,5,Kurulumu basit ve hızlı.Güzel tasarım.Kullanımı kolay smart tank sayesinde kartuş dolumlarından kurtulduk
2021-05-30,5,"Arkadaşlar, bugüne kadar boşuna kartuş almakla, doldurma eziyet çekmişiz. Bu makineyi alıyorsun kafadan 2-3 yıl mürekkepmiş kartuşmuş derdiniz kalmıyor. Sonrasında da 
 orjinal mürekkebini alırsın 60-70TL bir şey en az 1.1.5 yıl daha kartuş mürekkep derdin yok. Alalı 2 aya yaklaştı 500 e yakın sayfa çıkardım mürekkep yerinden oynamadı. Olumsuz tek yorum yapamam. uygulamasını telefona yüklüyorsun, telefondan gönderiyorsun yazıcıdan çıkıyor, telefondan tarıyorsun yazıcıdan çıkıyor. Daha neler neler. Mükemmel ürün. Düşünmeden alın."
2022-03-18,5,Ürüne bayıldım. Bir öğretmen olarak aldığıma hiç pişman olmayacağım bir ürün.
2021-10-08,5,Ürün harika yazma kalitesi güzel epson la bunun arasında kaldım tavsiye ederim alabilirsiniz sadece kargo çok geç geldi
2021-04-17,5,"Bu yazıcıyı almadan önce epson ile ikisi arasında kalmıştım. Ancak epson ayni ozellikerde olmasına karşın 8 bin siyah, 6 binde renkli cıktı taahhüt ediyor 3 yıl için.HP kalitesi, kurulumu çok kolay içinden çıkan kılavuza göre yaptım, 15 dk sonra cıktı almaya başladım. Hp smart uygulamasını indirip hem laptopa hemde telefona kurdum çok basit ve uygulama hızlı cıktı alabiliyorsunuz. Bu yazıcıyı almadan önce kartuşlu yazıcı yine hp kullanıyordum, ancak bu yazıcı daha hızlı ve  ekonomik kartuş dolumundan kurtulduk, içinden birer takım renkli ve 3 adet siyah mürekkep çıkıyor ve orjinal ürünler. Içinden çıkanlar ile 18 bin siyah 8 bin renkli cıktı alacaganiz taahhut ediliyor deneyip göreceğiz. Hp garantisi 3 yıl. Firma hızlı bir günde elime ulaştı faturası ve garanti belgesi var, tereddut etmenize gerek yok gönül rahatlığı ile alabilirsiniz.Tesekkurler."
2021-11-20,5,Ofisimizde HP Deskjet 2710 kullanıyorduk. Yetersiz kaldığı ve kartuş masrafındna ötürü bu cihazı tercih ettim. Paket içerisinde 2 adet fazladan siyah mürekkep tüpü ve CMYK renklerinden 1&#039;er adet standart dolum tüpleri de hediye geliyor. Kurulum kitapçığıyla çok basit bir kurulumu var. Tüpleri kolayca mürekkep haznesine boşaltabiliyorsunuz. Çok kolay ve çok kullanışlı bir cihaz. En önemlisi de WİHİ ile kablosuz bağlantı sayesinde ofisteki tüm bilgisayar ve telefonlardan belge çıktısı alabiliyoruz. Kesinlikle alınması gereken zarif ve kullanışlı bir cihaz.
