tarih,derece,yorum
2022-02-17,5,Derece yapan ogrencilerin tavsiyesi uzerine aldim. Bence sinava girecek her ogrencinin cozmesi gerekiyor. Icerisinde 10 farkli yayinin tyt denemesi var ve ek olarak 2021 tyt cikmis sorular da var. 2022 model ve yeni nesil sorulari icermesi bakimindan da cok yararli.
2022-05-07,5,2 gün önce sipariş ettim bu arada elime ulaştı soruları vs gayet güzel kargosu da hızlıydı
2022-02-23,5,Paketleme özenliydi kitap çok güzel teşekkürler
2022-03-10,5,YKS çalışırken almıştım kendime gerçekten çok güzel bir kaynak şimdi arkadaşıma aldım. Gönül rahatlığıyla sipariş edebilirsiniz. İyi dersler :&#039;)
2022-02-17,5,Ürün hasarsız geldi. Yanında bir de ayt kimya test göndermişler teşekkürlerr
2022-03-01,5,Deneme çok kaliteli ve güzel geldi yanında da polinom fasikülü göndermişler çok güzel teşekkürler
2022-03-21,5,Hızlı kargo ve hediye için teşekkür ederim.Güvenli satıcı herkese tavsiye ederim.
2022-03-23,5,Harikaa hediye için teşekkürler
2022-03-14,5,Cok güzel paketlenmisti hic hasari yok memnunum
2022-02-10,5,Ürün sorunsuz ve hızlı geldi çok teşekkürler
2022-03-15,5,Her zamanki Pegem kalitesi gerçekten çok güzel
2022-04-17,5,Kargo kutusu içerisinde geldi. Kapak içinde 3 deneme şeklinde. Soruları çözmedim ama genel olarak beğenilen bir deneme👍🏻
2022-03-15,5,Daha çözmedim sorularını bilmiyorum ama çok hızlı geldi. Çözümleri karekodlu pdf şeklinde beklediğimden ince geldi o yüzden. Kitap gibi değil yani
2022-02-23,5,Güzel bir deneme hepsini çözdüm soruları kaliteli yanlış soruya rastlamadım
2022-05-06,5,"Güzel ürün, konuları kısmen hallettikten sonra kendimi denemek için aldım. Hızlı kargoladı, teşekkürler hepsiburada."
2022-03-03,5,"Sorular çok kaliteli,az deneme sayısı olsa da alın derim. Ayrıca kargo paketlenmeside iyiydi teşekkürler"
2022-01-26,5,Ürünum çok hızlı geldi kpss çalışmaya engel olmayan firma oldugunuz için tşk
2022-02-15,5,Hızlı teslimat
2022-04-07,5,Hızlı kargo teşekkür ederim hemen ulaştı
2022-02-12,5,Öncelikle yorum yapmak için çözmeyi bekledik.çözümleri gayet açıklayıcı ayrıca video çözümlü oluşu gayet güzel.Sınav formatında.Orta seviyenin bir tık üstünde bence öyle çok kolay olup çözülüp geçilecek bir kitap değil.Beni zorladı açıkçası ama tavsiye ederim
2022-04-28,3,yayınevini biliyorum zaten kaynakları güzel fakat kitabın içine hangi zihniyet asetatlı kalemle bunu yazar bilemiyorum. kapağındaki başlık bir de bari farklı bir şey yazsaydınız. inanılmazsınız gerçekten.
2021-12-09,5,Çok zorlu ve sectin sorular
2021-09-19,5,"Anlaşılır anlatımlı sorular,sayfa yapısı kapak yapısı kaliteli. 1 günde geldi paketleme iyiydi yıpranmamış. Tavsiye ederim. Emeği geçen herkese teşekkür ederim."
2022-04-06,5,Kargo hizmetinden memnun kaldım.  Kitap ile ilgili sayfa kalitesi biraz düşük ve soru tipleri birbirine benzer meydanda gelmiş. Gözüme çarpan noktalar bunlardan ibaret.
2021-11-17,5,Birkaç testini çözdüm ve gerçekten sorular laf olsun diye hazırlanmamış. Çok kaliteli soruları var. Düşünmeden alabilirsiniz.
2021-12-11,5,Ben alırkende fiyat gayet iyiydi indirimde. Şu anda da gayet iyi KPSS çalışanlar bilir kitap fiyatlarını onun için çok iyi
2022-01-19,5,Kendi sitesinin 3 te 1 fiyatına nasıl satın alabiliyoruz aklım almıyor
2022-02-12,5,Sorulari çok kaliteli severek çözdüm
2022-02-13,5,Yeterli
2022-04-29,5,Soruları orta ve üstü çok kolay olduğu söyleyemem kesinlikle almanızı tavsiye ederim
2022-04-09,5,Bir çok sınav formatına uygun
2022-04-08,5,Çok teşekkür ederim. Çok hızlı elime ulaştı.
2022-02-22,5,Kardesım bu yıl sınava gireck. Ve denemeler çok işe yarayacak eminim buna. 🙏🌸
2022-02-14,5,"15 gün sonra geldi, geç geldi ama ucuza almıştım onun için sorun değil, yıldız kırmak istemiyorum."
2022-02-15,5,Bu kitabı kardeşime aldım bu fiyata bu kadar kaliteli bir kitabın gelmesi beni şaşırttı  başka bir siparişte görüşmek dileğiyle
2022-04-11,5,Çok hızlı geldi
2022-04-22,5,Çok güzel deneme soruları oldukça kaliteli
2022-04-23,5,Ürünler gayet güzel geldiler. Patpata sarılmışlardı. Yırtık çizik vs yoktu. İçindeki sorular zaten mükemmel Mert hocayı az çok tanıyorsanuz ne dediğimi anlarsınız
2022-04-20,5,"Mert hocam yine en iyisini yapmış❤❤
Özenli paketlemeden dolayı teşekkürler."
2022-04-19,5,ürüne diyecek laf çok gayet güzel. ptt kargo ile hızlıca gönderildi. saat 14.17 verdiğim sipariş aynı gün içinde kargoya verildi. ptt kargo getirirken biraz özensiz davranıyor ama bu satıcı ve ürünle alakalı değil. genel olarak olumlu bir alışverişti.
2022-04-20,5,"hızlı ve güvenli kargolama için teşekkürler,çocuklarımın ilgi ile takip ettiği yayınlar çok memnunlar.."
2022-04-15,5,Henüz elime ulaşmadı ama soruların da çözümlerin de mükemmel olacağından o kadar eminim ki. Mert hocamız yaparda kötü olur mu?
2022-04-14,5,Mükemmel bir kitap olmuş kesinlikle alınmalı
2022-04-14,5,konu mert hocaysa o iş kalitelidir
2022-04-26,5,"Mert Hocama diyecek yok zaten her işi ayrı bi mükemmel 💜
Ayrıca kargo çok hızlıydı çok teşekkürler ilginiz için☺️"
2022-04-25,5,Bu denemeleri o kadar heyecanla bekledim ki. Dedim Mert hocam en iyisini yapar diye. Yapmış da.
2022-04-25,5,Sınava girmeden çözülmesi gereken 20 deneme mert hocam sizlere kocaman teşekkürler.
2021-12-07,5,"Türkçe 47 test toplam 152 sayfa
Matematik 41 test 167 sayfa
Geometri 20 test 80 sayfa
Tarih 56 test 8 deneme 255 sayfa
Coğrafya 51 test 6 deneme toplam 247 sayfa
Vatandaşlık 23 test 7 karma test iki deneme toplam 129 sayfa
Beğendim ben gayet güzel kargoda hızlıydı yani pegem bide sınava en yakın kaynaklardan biri gönül rahatlığıyla alabilirsiniz"
2021-09-07,5,"Set içeriğinde aşağı yukarı soru sayıları bu kadar


Türkçe 47 test 650 soru
Matematik 41 test 700 soru
Geometri 20 test 320 soru
Tarih 64 test 1200 soru
Coğrafya 57 test  850 soru
Anayasa 32 test  500 soru


Kitap sonlarında karma test ve denemeler de mevcut.
Umarım yardımcı olabilmişimdir."
2021-08-03,5,KPSSye çalışan herkesin alması gereken bir set . Pegem yayınları bu konuda çok iyi zaten seti aldığınız zaman size bir aktivasyon koduda veriliyor bunu pegem akademi uygulamasını indirip aktive ettiğinizde video dersleri izleyebiliyorsunuz ve bununla birlikte online 5 denemeye katılabiliyorsunuz kaçırmayın alın . Satıcı çok hızlı dün sipariş ettim bugün elimdeydi kitaplar teşekkürler
2022-04-16,5,Pegem kalitesi hemen elime ulaştı ve kargo çok özenliydi
2021-06-29,5,fotografı bilerek koydum almak isteyen arkadaşlar kalınlıgını az çok görsün diye bence ideal sıkılmadan bitirip çözülecek kitaplar
2021-12-03,5,Cok hızlı geldi ve cok beğendim tıpkı resimdeki gibi geldi. Cok da uygun aldım iyiki almışım 👌🏻
2021-10-12,5,"Kolayın bir üstü orta seviye alınabilir bir set. 
Set içeriğinde aşağı yukarı soru sayıları bu kadar
__
Türkçe 47 test 650 soru
Matematik 41 test 700 soru
Geometri 20 test 320 soru
Tarih 64 test 1200 soru
Coğrafya 6 deneme 51 test  850 soru
Anayasa 2 deneme 30 test  500 soru"
2022-02-12,5,"Çok hızlı ve güzel bir şekilde bir elime ulaştı fiyatı da oldukça makul böyle bir fiyat avantajı sağladığınız ve hızlıca teslim ettiğiniz için çok teşekkür ederim, çok memnun kaldım ☺️"
2022-04-22,5,Ürün sağlam bir şekilde elime ulaştı tavsiye ederim  Teşekkürler Hepsiburada
2022-04-10,5,"Önlisans kpss için aldık, güzel"
